;Date	Time 	Flow (CMS)
8/6/2016	10:15:00	0.261647666
8/6/2016	10:30:00	0.261647666
8/6/2016	10:45:00	0.261647666
8/6/2016	11:00:00	0.261647666
8/6/2016	11:15:00	0.261647666
8/6/2016	11:30:00	0.269010047
8/6/2016	11:45:00	0.269010047
8/6/2016	12:00:00	0.276372427
8/6/2016	12:15:00	0.291663524
8/6/2016	12:30:00	0.299592241
8/6/2016	12:45:00	0.307520958
8/6/2016	13:00:00	0.324227898
8/6/2016	13:15:00	0.332722952
8/6/2016	13:30:00	0.341218006
8/6/2016	13:45:00	0.34971306
8/6/2016	14:00:00	0.358208115
8/6/2016	14:15:00	0.358208115
8/6/2016	14:30:00	0.358208115
8/6/2016	14:45:00	0.366986337
8/6/2016	15:00:00	0.366986337
8/6/2016	15:15:00	0.366986337
8/6/2016	15:30:00	0.366986337
8/6/2016	15:45:00	0.366986337
8/6/2016	16:00:00	0.358208115
8/6/2016	16:15:00	0.358208115
8/6/2016	16:30:00	0.34971306
8/6/2016	16:45:00	0.34971306
8/6/2016	17:00:00	0.34971306
8/6/2016	17:15:00	0.341218006
8/6/2016	17:30:00	0.341218006
8/6/2016	17:45:00	0.333006121
8/6/2016	18:00:00	0.333006121
8/6/2016	18:15:00	0.324227898
8/6/2016	18:30:00	0.324227898
8/6/2016	18:45:00	0.316016013
8/6/2016	19:00:00	0.316016013
8/6/2016	19:15:00	0.316016013
8/6/2016	19:30:00	0.307804127
8/6/2016	19:45:00	0.299592241
8/6/2016	20:00:00	0.299592241
8/6/2016	20:15:00	0.291663524
8/6/2016	20:30:00	0.299592241
8/6/2016	20:45:00	0.291663524
8/6/2016	21:00:00	0.284017975
8/6/2016	21:15:00	0.284017975
8/6/2016	21:30:00	0.284017975
8/6/2016	21:45:00	0.276372427
8/6/2016	22:00:00	0.269010047
8/6/2016	22:15:00	0.276372427
8/6/2016	22:30:00	0.269010047
8/6/2016	22:45:00	0.269010047
8/6/2016	23:00:00	0.276372427
8/6/2016	23:15:00	0.276372427
8/6/2016	23:30:00	0.269010047
8/6/2016	23:45:00	0.269010047
8/7/2016	0:00:00	0.269010047
8/7/2016	0:15:00	0.269010047
8/7/2016	0:30:00	0.269010047
8/7/2016	0:45:00	0.261647666
8/7/2016	1:00:00	0.261647666
8/7/2016	1:15:00	0.269010047
8/7/2016	1:30:00	0.276372427
8/7/2016	1:45:00	0.284017975
8/7/2016	2:00:00	0.284017975
8/7/2016	2:15:00	0.299592241
8/7/2016	2:30:00	0.316016013
8/7/2016	2:45:00	0.316016013
8/7/2016	3:00:00	0.333006121
8/7/2016	3:15:00	0.341218006
8/7/2016	3:30:00	0.34971306
8/7/2016	3:45:00	0.367269506
8/7/2016	4:00:00	0.376047728
8/7/2016	4:15:00	0.376047728
8/7/2016	4:30:00	0.376047728
8/7/2016	4:45:00	0.385109119
8/7/2016	5:00:00	0.385109119
8/7/2016	5:15:00	0.376047728
8/7/2016	5:30:00	0.376047728
8/7/2016	5:45:00	0.376047728
8/7/2016	6:00:00	0.376047728
8/7/2016	6:15:00	0.376047728
8/7/2016	6:30:00	0.376047728
8/7/2016	6:45:00	0.376047728
8/7/2016	7:00:00	0.367269506
8/7/2016	7:15:00	0.358491283
8/7/2016	7:30:00	0.358491283
8/7/2016	7:45:00	0.358491283
8/7/2016	8:00:00	0.367269506
8/7/2016	8:15:00	0.367269506
8/7/2016	8:30:00	0.358491283
8/7/2016	8:45:00	0.34971306
8/7/2016	9:00:00	0.34971306
8/7/2016	9:15:00	0.358491283
8/7/2016	9:30:00	0.358491283
8/7/2016	9:45:00	0.34971306
8/7/2016	10:00:00	0.34971306
8/7/2016	10:15:00	0.367269506
8/7/2016	10:30:00	0.367269506
8/7/2016	10:45:00	0.367269506
8/7/2016	11:00:00	0.358491283
8/7/2016	11:15:00	0.358491283
8/7/2016	11:30:00	0.367269506
8/7/2016	11:45:00	0.367269506
8/7/2016	12:00:00	0.376047728
8/7/2016	12:15:00	0.376047728
8/7/2016	12:30:00	0.367269506
8/7/2016	12:45:00	0.376047728
8/7/2016	13:00:00	0.385109119
8/7/2016	13:15:00	0.385109119
8/7/2016	13:30:00	0.385109119
8/7/2016	13:45:00	0.385109119
8/7/2016	14:00:00	0.385109119
8/7/2016	14:15:00	0.376047728
8/7/2016	14:30:00	0.376047728
8/7/2016	14:45:00	0.385109119
8/7/2016	15:00:00	0.385109119
8/7/2016	15:15:00	0.376047728
8/7/2016	15:30:00	0.376047728
8/7/2016	15:45:00	0.376047728
8/7/2016	16:00:00	0.367269506
